timestamp,region,power_plant,consumer_type,production,consumption,voltage,frequency,equipment_status
2026-03-01T14:11:15.611772,Tanger-Tétouan-Al Hoceima,Tarfaya Wind Farm,industrial,46.28,31.93,223.76,50.04,ok
2026-03-01T15:11:15.611772,Tanger-Tétouan-Al Hoceima,Tarfaya Wind Farm,industrial,180.64,98.81,223.38,50.06,ok
2026-03-01T16:11:15.611772,Tanger-Tétouan-Al Hoceima,Tahaddart Thermal Power Station,residential,165.22,193.97,237.66,50.04,ok
2026-03-01T17:11:15.611772,Tanger-Tétouan-Al Hoceima,Tarfaya Wind Farm,residential,164.83,193.34,235.61,50.03,maintenance
2026-03-01T18:11:15.611772,Tanger-Tétouan-Al Hoceima,Tarfaya Wind Farm,residential,247.57,298.23,228.29,50.0,ok
2026-03-01T19:11:15.611772,Tanger-Tétouan-Al Hoceima,Tarfaya Wind Farm,industrial,174.42,83.57,231.02,50.05,ok
2026-03-01T20:11:15.611772,Tanger-Tétouan-Al Hoceima,Tahaddart Thermal Power Station,industrial,98.0,54.42,237.09,50.05,ok
2026-03-01T21:11:15.611772,Tanger-Tétouan-Al Hoceima,Tahaddart Thermal Power Station,residential,153.11,203.23,232.07,50.03,ok
2026-03-01T22:11:15.611772,Tanger-Tétouan-Al Hoceima,Tahaddart Thermal Power Station,industrial,159.49,101.81,237.14,50.02,ok
2026-03-01T23:11:15.611772,Tanger-Tétouan-Al Hoceima,Tarfaya Wind Farm,industrial,138.49,68.01,231.31,49.99,ok
2026-03-02T00:11:15.611772,Tanger-Tétouan-Al Hoceima,Tarfaya Wind Farm,industrial,35.31,28.44,222.32,50.0,ok
2026-03-02T01:11:15.611772,Tanger-Tétouan-Al Hoceima,Tarfaya Wind Farm,industrial,46.99,40.06,228.87,50.05,ok
2026-03-02T02:11:15.611772,Tanger-Tétouan-Al Hoceima,Tarfaya Wind Farm,industrial,40.15,37.98,224.43,50.01,maintenance
2026-03-02T03:11:15.611772,Tanger-Tétouan-Al Hoceima,Tahaddart Thermal Power Station,industrial,84.69,77.47,233.81,50.03,ok
2026-03-02T04:11:15.611772,Tanger-Tétouan-Al Hoceima,Tahaddart Thermal Power Station,industrial,32.47,41.39,222.19,50.03,ok
2026-03-02T05:11:15.611772,Tanger-Tétouan-Al Hoceima,Tarfaya Wind Farm,residential,53.36,44.97,239.57,50.04,ok
2026-03-02T06:11:15.611772,Tanger-Tétouan-Al Hoceima,Tarfaya Wind Farm,residential,116.29,101.99,224.87,50.0,ok
2026-03-02T07:11:15.611772,Tanger-Tétouan-Al Hoceima,Tahaddart Thermal Power Station,industrial,0,0,231.93,49.96,outage
2026-03-02T08:11:15.611772,Tanger-Tétouan-Al Hoceima,Tahaddart Thermal Power Station,residential,219.24,189.75,223.99,50.02,ok
2026-03-02T09:11:15.611772,Tanger-Tétouan-Al Hoceima,Tarfaya Wind Farm,residential,189.89,189.63,239.33,50.0,ok
2026-03-02T10:11:15.611772,Tanger-Tétouan-Al Hoceima,Tarfaya Wind Farm,residential,103.05,103.24,222.12,49.95,ok
2026-03-02T11:11:15.611772,Tanger-Tétouan-Al Hoceima,Tahaddart Thermal Power Station,industrial,46.07,43.96,222.78,49.97,ok
2026-03-02T12:11:15.611772,Tanger-Tétouan-Al Hoceima,Tahaddart Thermal Power Station,residential,146.42,148.88,220.14,50.03,ok
2026-03-02T13:11:15.611772,Tanger-Tétouan-Al Hoceima,Tarfaya Wind Farm,industrial,152.57,126.76,236.95,50.02,ok
2026-03-02T14:11:15.611772,Tanger-Tétouan-Al Hoceima,Tahaddart Thermal Power Station,industrial,165.9,143.03,226.9,50.01,ok
2026-03-02T15:11:15.611772,Tanger-Tétouan-Al Hoceima,Tarfaya Wind Farm,residential,130.01,125.32,224.49,49.97,ok
2026-03-02T16:11:15.611772,Tanger-Tétouan-Al Hoceima,Tarfaya Wind Farm,industrial,131.86,145.22,222.49,50.01,ok
